2009,2021,2015,2017,2022,2016,2004,2010,2012,2001,id,2003,2020,2002,2018,2013,2011,name,2000,2008,2019,2007,2006,url,2014,2005
,294,265,265,294,265,,21084,2517,,124419,,294,,294,79,102,Odysseas Vlachodimos,,,294,,,https://transfermarkt.pt/odysseas-vlachodimos/rueckennummern/spieler/124419,79,
,68780,,,294,,,,,,504072,,294,,,,,Samuel Soares,,,41582,,,https://transfermarkt.pt/samuel-soares/rueckennummern/spieler/504072,,
,68780,,,294,,,,,,670710,,,,,,,André Gomes,,,,,,https://transfermarkt.pt/andre-gomes/rueckennummern/spieler/670710,,
,68780,,,10330,,,,,,650568,,68780,,,,,António Silva,,,,,,https://transfermarkt.pt/antonio-silva/rueckennummern/spieler/650568,,
,10330,,,10330,,,,,,673492,,294,,585,,,Morato,,,294,,,https://transfermarkt.pt/morato/rueckennummern/spieler/673492,,
,294,221,221,294,221,,,,,411662,,294,,221,,,Lucas Veríssimo,,,221,,,https://transfermarkt.pt/lucas-verissimo/rueckennummern/spieler/411662,221,
1029,294,281,281,294,281,,720,720,,54781,,294,,281,330,720,Nicolás Otamendi,,1029,281,14842,1029,https://transfermarkt.pt/nicolas-otamendi/rueckennummern/spieler/54781,1049,
,294,294,294,294,294,,,2464,,193082,,294,,294,2464,2464,Alejandro Grimaldo,,,294,,,https://transfermarkt.pt/alejandro-grimaldo/rueckennummern/spieler/193082,2464,
,969,159,197,294,159,,,159,,271455,,969,,969,,,Mihailo Ristic,,,969,,,https://transfermarkt.pt/mihailo-ristic/rueckennummern/spieler/271455,159,
,62,,23297,294,23297,,,,,452607,,62,,62692,,,Alexander Bah,,,5817,,,https://transfermarkt.pt/alexander-bah/rueckennummern/spieler/452607,,
,294,276,2462,294,978,,,537,,231614,,294,,2462,6600,,Gilberto,,,2462,,,https://transfermarkt.pt/gilberto/rueckennummern/spieler/231614,,
,234,687,687,294,687,,,8995,,223367,,687,,687,8995,8995,Fredrik Aursnes,,,687,,,https://transfermarkt.pt/fredrik-aursnes/rueckennummern/spieler/223367,8995,
,3709,,41582,294,10330,,,,,357162,,162,,294,,,Florentino,,,294,,,https://transfermarkt.pt/florentino/rueckennummern/spieler/357162,,
,294,336,379,294,46,,,336,,149729,,336,,46,1085,336,João Mário,,,932,,,https://transfermarkt.pt/joao-mario/rueckennummern/spieler/149729,336,
,10330,,,294,,,,,,670681,,,,,,,João Neves,,,,,,https://transfermarkt.pt/joao-neves/rueckennummern/spieler/670681,,
,41582,,,294,,,,,,651005,,10330,,,,,Cher Ndour,,,,,,https://transfermarkt.pt/cher-ndour/rueckennummern/spieler/651005,,
,11688,3345,2990,294,11194,,,,,334557,,294,,979,,,Chiquinho,,,294,,,https://transfermarkt.pt/chiquinho/rueckennummern/spieler/334557,3345,
,2778,,,294,,,,,,670103,,2778,,,,,Andreas Schjelderup,,,,,,https://transfermarkt.pt/andreas-schjelderup/rueckennummern/spieler/670103,,
21061,583,82,583,294,583,,33,33,,85148,,583,,583,33,33,Julian Draxler,,21061,583,,,https://transfermarkt.pt/julian-draxler/rueckennummern/spieler/85148,33,
,610,585,8817,294,8817,,,,,469822,,610,,610,,,David Neres,,,610,,,https://transfermarkt.pt/david-neres/rueckennummern/spieler/469822,,
,1049,10330,1049,294,583,,,10330,,225122,,1049,,1049,10330,,Gonçalo Guedes,,,1049,,,https://transfermarkt.pt/goncalo-guedes/rueckennummern/spieler/225122,294,
,294,1075,294,294,294,,,3349,,238055,,294,,294,10789,,Rafa,,,294,,,https://transfermarkt.pt/rafa/rueckennummern/spieler/238055,1075,
,294,,,294,,,,,,550550,,294,,10330,,,Gonçalo Ramos,,,294,,,https://transfermarkt.pt/goncalo-ramos/rueckennummern/spieler/550550,,
,2503,5107,892,294,5107,,,,,387110,,89,,697,,,Petar Musa,,,62,,,https://transfermarkt.pt/petar-musa/rueckennummern/spieler/387110,,
,195,,9054,10330,,,,,,464598,,2414,,50935,,,Casper Tengstedt,,,473,,,https://transfermarkt.pt/casper-tengstedt/rueckennummern/spieler/464598,,
,720,41588,41588,720,10331,,,,,357153,,10331,,720,,,Diogo Costa,,,720,,,https://transfermarkt.pt/diogo-costa/rueckennummern/spieler/357153,,
2420,720,7179,7179,720,7179,,,7179,,155396,,10331,,7179,7179,,Cláudio Ramos,,,7179,,,https://transfermarkt.pt/claudio-ramos/rueckennummern/spieler/155396,7179,
,7378,,776,720,,,,776,,284701,,7378,,,,,Samuel,,,7378,,,https://transfermarkt.pt/samuel/rueckennummern/spieler/284701,776,
,1075,,,720,,,,,,498237,,1075,,1075,,,David Carmo,,,1075,,,https://transfermarkt.pt/david-carmo/rueckennummern/spieler/498237,,
,720,2995,124,720,1085,,,294,,155025,,2423,,2423,10330,,Fábio Cardoso,,,2423,,,https://transfermarkt.pt/fabio-cardoso/rueckennummern/spieler/155025,2995,
418,720,418,114,720,418,720,418,418,,14132,1301,720,1301,720,418,418,Pepe,,418,720,418,720,https://transfermarkt.pt/pepe/rueckennummern/spieler/14132,418,720
1050,720,720,720,720,720,,3709,2698,,57723,,720,,12,683,683,Marcano,,630,720,630,630,https://transfermarkt.pt/marcano/rueckennummern/spieler/57723,720,
,720,,10005,720,,,,,,544784,,720,,10005,,,Zaidu,,,2423,,,https://transfermarkt.pt/zaidu/rueckennummern/spieler/544784,,
,720,15,15,720,15,,,210,,228433,,15,,15,210,,Wendell,,,15,,,https://transfermarkt.pt/wendell/rueckennummern/spieler/228433,15,
,720,,41588,720,,,,,,537602,,10331,,41588,,,João Mário,,,720,,,https://transfermarkt.pt/joao-mario/rueckennummern/spieler/537602,,
,720,4297,7378,720,7378,,,,,257388,,720,,720,10949,,Wilson Manafá,,,720,,,https://transfermarkt.pt/wilson-manafa/rueckennummern/spieler/257388,1436,
,979,,,720,,,,,,426213,,10331,,68780,,,Rodrigo Conceição,,,10330,,,https://transfermarkt.pt/rodrigo-conceicao/rueckennummern/spieler/426213,,
,720,159,603,720,9252,,,159,,222813,,720,,44,,,Marko Grujic,,,44,,,https://transfermarkt.pt/marko-grujic/rueckennummern/spieler/222813,159,
,720,,3325,720,2432,,,,,512913,,2995,,3711,,,Stephen Eustaquio,,,2995,,,https://transfermarkt.pt/stephen-eustaquio/rueckennummern/spieler/512913,,
,720,8172,3631,720,8172,,,7136,,214538,,720,,3631,7136,7136,Mateus Uribe,,,720,,,https://transfermarkt.pt/mateus-uribe/rueckennummern/spieler/214538,10503,
,720,10331,720,10331,10331,,,,,344519,,2995,,720,,,Bruno Costa,,,7378,,,https://transfermarkt.pt/bruno-costa/rueckennummern/spieler/344519,41588,
,720,,,720,,,,,,723733,,10331,,,,,Bernardo Folha,,,41588,,,https://transfermarkt.pt/bernardo-folha/rueckennummern/spieler/723733,,
,720,15136,720,720,720,,,6600,,231289,,720,,720,6600,6600,Otávio,,,720,,,https://transfermarkt.pt/otavio/rueckennummern/spieler/231289,2420,
,1465,,,720,45510,,,,,448470,,1465,,68403,,,André Franco,,,1465,,,https://transfermarkt.pt/andre-franco/rueckennummern/spieler/448470,,
,720,,210,720,210,,,,,520662,,210,,210,,,Pepê,,,210,,,https://transfermarkt.pt/pepe/rueckennummern/spieler/520662,,
,720,,7378,720,10331,,,,,454121,,1075,,2425,,,Galeno,,,1075,,,https://transfermarkt.pt/galeno/rueckennummern/spieler/454121,,
,720,4864,2423,720,3327,,,,,236537,,126,,720,,3958,Fernando Andrade,,,2381,,,https://transfermarkt.pt/fernando-andrade/rueckennummern/spieler/236537,,
,1023,,,10331,,,,,,627221,,1023,,1023,,,Gabriel Veron,,,1023,,,https://transfermarkt.pt/gabriel-veron/rueckennummern/spieler/627221,,
,720,,,10331,,,,,,479649,,10331,,41588,,,Gonçalo Borges,,,41588,,,https://transfermarkt.pt/goncalo-borges/rueckennummern/spieler/479649,,
,720,,34775,720,,,,,,711337,,10331,,2462,,,Evanilson,,,2462,,,https://transfermarkt.pt/evanilson/rueckennummern/spieler/711337,,
,720,6079,6297,720,6079,,17575,,,307058,,720,,6297,42187,17575,Mehdi Taremi,,,2425,,,https://transfermarkt.pt/mehdi-taremi/rueckennummern/spieler/307058,6079,
,720,50635,366,720,988,,,,,302371,,10331,,11000,,,Toni Martínez,,,3329,,,https://transfermarkt.pt/toni-martinez/rueckennummern/spieler/302371,,
,720,36123,11994,720,11994,,,,,392767,,10331,,1032,,,Danny Namaso,,,36123,,,https://transfermarkt.pt/danny-namaso/rueckennummern/spieler/392767,,
,506,,,336,,,,,,492319,,506,,11008,,,Franco Israel,,,11008,,,https://transfermarkt.pt/franco-israel/rueckennummern/spieler/492319,,
418,336,150,150,336,150,,418,418,,44062,,336,,13,150,418,Antonio Adán,,6767,13,,6767,https://transfermarkt.pt/antonio-adan/rueckennummern/spieler/44062,150,
,336,,,336,,,,,,647098,,336,,3268,,,André Paulo,,,11085,,,https://transfermarkt.pt/andre-paulo/rueckennummern/spieler/647098,,
,336,,,336,,,,,,549006,,336,,,,,Gonçalo Inácio,,,336,,,https://transfermarkt.pt/goncalo-inacio/rueckennummern/spieler/549006,,
,39,306,24366,336,306,,,,,288253,,39,,234,4779,,Jerry St. Juste,,,39,,,https://transfermarkt.pt/jerry-st-juste/rueckennummern/spieler/288253,306,
,9054,,,336,,,,,,974982,,,,,,,Ousmane Diomande,,,,,,https://transfermarkt.pt/ousmane-diomande/rueckennummern/spieler/974982,,
866,336,336,336,336,336,,866,31,,102427,,336,,336,866,9252,Sebastián Coates,,,336,,,https://transfermarkt.pt/sebastian-coates/rueckennummern/spieler/102427,9264,
,2503,31,1032,2995,36123,,,336,,177859,,1158,,336,16795,336,Tiago Ilori,,,336,,,https://transfermarkt.pt/tiago-ilori/rueckennummern/spieler/177859,40,
4297,336,964,36,336,964,,4297,964,,56036,,336,,964,964,982,Luís Neto,,4297,336,4297,,https://transfermarkt.pt/luis-neto/rueckennummern/spieler/56036,964,4297
,336,585,979,336,10010,,,,,379249,,336,,2425,,,Matheus Reis,,,2425,,,https://transfermarkt.pt/matheus-reis/rueckennummern/spieler/379249,585,
,336,,,10949,,,,,,668587,,67909,,,,,Nazinho,,,,,,https://transfermarkt.pt/nazinho/rueckennummern/spieler/668587,,
,150,11,11,336,11,,,11,,191217,,11,,11,11,9249,Héctor Bellerín,,,11,,,https://transfermarkt.pt/hector-bellerin/rueckennummern/spieler/191217,9249,
,336,10949,1075,336,336,,,336,,139395,,1075,,1075,336,336,Ricardo Esgaio,,,1075,,,https://transfermarkt.pt/ricardo-esgaio/rueckennummern/spieler/139395,2990,
,45510,,,45510,,,,,,726721,,,,,,,Gonçalo Esteves,,,,,,https://transfermarkt.pt/goncalo-esteves/rueckennummern/spieler/726721,,
,336,,3829,336,3829,,,,,476701,,3329,,3829,,,Manuel Ugarte,,,3829,,,https://transfermarkt.pt/manuel-ugarte/rueckennummern/spieler/476701,,
,2423,,9598,336,9598,,,,,524315,,2423,,9598,,,Hidemasa Morita,,,9598,,,https://transfermarkt.pt/hidemasa-morita/rueckennummern/spieler/524315,50393,
,1418,,,336,,,,,,851804,,1418,,,,,Mateo Tanlongo,,,1418,,,https://transfermarkt.pt/mateo-tanlongo/rueckennummern/spieler/851804,,
,336,,,10949,,,,,,670717,,336,,,,,Dário Essugo,,,,,,https://transfermarkt.pt/dario-essugo/rueckennummern/spieler/670717,,
,22381,6600,,336,679,,,,,216118,,4083,,2457,330,,Eduardo Henrique,,,336,,,https://transfermarkt.pt/eduardo-henrique/rueckennummern/spieler/216118,330,
,336,,45510,336,45510,,,,,461943,,336,,4294,,,Daniel Bragança,,,1465,,,https://transfermarkt.pt/daniel-braganca/rueckennummern/spieler/461943,,
,265,,,10949,,,,,,481688,,265,,,,,Sotiris Alexandropoulos,,,265,,,https://transfermarkt.pt/sotiris-alexandropoulos/rueckennummern/spieler/481688,,
,45510,,,45510,,,,,,880245,,,,,,,Mateus Fernandes,,,,,,https://transfermarkt.pt/mateus-fernandes/rueckennummern/spieler/880245,,
,336,,543,336,,,,,,426620,,336,,543,,,Pedro Gonçalves,,,3329,,,https://transfermarkt.pt/pedro-goncalves/rueckennummern/spieler/426620,,
,336,10330,2425,336,1085,,,,,290391,,336,,2425,41582,,Nuno Santos,,,2425,,,https://transfermarkt.pt/nuno-santos/rueckennummern/spieler/290391,10330,
,398,,336,336,45510,,,,,448466,,336,,336,,,Jovane,,,336,,,https://transfermarkt.pt/jovane/rueckennummern/spieler/448466,,
,1465,221,221,336,221,,,,,401534,,15172,,17776,,,Arthur Gomes,,,221,,,https://transfermarkt.pt/arthur-gomes/rueckennummern/spieler/401534,,
,2420,3057,2503,336,2503,,,,,290336,,2420,,2420,41582,,Rochinha,,,2420,,,https://transfermarkt.pt/rochinha/rueckennummern/spieler/290336,355,
,336,9254,1123,336,148,,,,,314367,,2420,,18333,,,Marcus Edwards,,,2420,,,https://transfermarkt.pt/marcus-edwards/rueckennummern/spieler/314367,6928,
,543,10789,10789,336,10789,,,,,412669,,131,,1075,,,Trincão,,,1075,,,https://transfermarkt.pt/trincao/rueckennummern/spieler/412669,,
,37487,,,45510,,,,,,864121,,,,,,,Issahaku Fatawu,,,,,,https://transfermarkt.pt/issahaku-fatawu/rueckennummern/spieler/864121,,
,336,2424,1075,336,2424,,,3348,,211072,,336,,1075,2424,25823,Paulinho,,,1075,,,https://transfermarkt.pt/paulinho/rueckennummern/spieler/211072,2424,
,45510,,,336,,,,,,670688,,67909,,,,,Chermiti,,,,,,https://transfermarkt.pt/chermiti/rueckennummern/spieler/670688,,
